#notetype:Chinese
我们	we/us/ourselves/our/	<span class="tone3">wǒ</span><span class="tone5">men</span>
那时	then/at that time/in those days/	<span class="tone4">nà</span><span class="tone2">shí</span>
真是	indeed/truly/(coll.) (used to express disapproval, annoyance etc about sth)/	<span class="tone1">zhēn</span><span class="tone5">shi</span>
太	highest/greatest/too (much)/very/extremely/	<span class="tone4">tài</span>
天真	naive/innocent/artless/	<span class="tone1">tiān</span><span class="tone1">zhēn</span>
了	unofficial variant of 瞭[liao4]/	<span class="tone4">liào</span>
以为	to believe/to think/to consider/to be under the impression/	<span class="tone3">yǐ</span><span class="tone2">wéi</span>
读书	to read a book/to study/to attend school/	<span class="tone2">dú</span><span class="tone1">shū</span>
就	at once/right away/only/just (emphasis)/as early as/already/as soon as/then/in that case/as many as/even if/to approach/to move towards/to undertake/to engage in/to suffer/subjected to/to accomplish/to take advantage of/to go with (of foods)/with regard to/concerning/	<span class="tone4">jiù</span>
可以	can/may/possible/able to/not bad/pretty good/	<span class="tone3">kě</span><span class="tone3">yǐ</span>
改变	to change/to alter/to transform/	<span class="tone3">gǎi</span><span class="tone4">biàn</span>
一切	everything/every/all/	<span class="tone1">yī</span><span class="tone4">qiè</span>
每天	every day/everyday/	<span class="tone3">měi</span><span class="tone1">tiān</span>
在	(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress)/	<span class="tone4">zài</span>
学校	school/CL:所[suo3]/	<span class="tone2">xué</span><span class="tone4">xiào</span>
里	li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels/	<span class="tone3">lǐ</span>
死记	to learn by rote/to cram/	<span class="tone3">sǐ</span><span class="tone4">jì</span>
硬	hard/stiff/strong/firm/resolutely/doggedly/good (quality)/able (person)/	<span class="tone4">yìng</span>
背	the back of a body or object/to turn one's back/to hide something from/to learn by heart/to recite from memory/unlucky (slang)/hard of hearing/	<span class="tone4">bèi</span>
根本	fundamental/basic/root/simply/absolutely (not)/(not) at all/CL:個|个[ge4]/	<span class="tone1">gēn</span><span class="tone3">běn</span>
不知	not to know/unaware/unknowingly/fig. not to admit (defeat, hardships, tiredness etc)/	<span class="tone4">bù</span><span class="tone1">zhī</span>
知道	to know/to become aware of/also pr. [zhi1 dao5]/	<span class="tone1">zhī</span><span class="tone4">dào</span>
道外	Daowai district of Harbin 哈爾濱|哈尔滨[Ha1 er3 bin1] in Heilongjiang/	<span class="tone4">dào</span><span class="tone4">wài</span>
外面	outside/	<span class="tone4">wài</span><span class="tone5">mian</span>
面的	abbr. of 麵包車的士|面包车的士[mian4 bao1 che1 di1 shi4]/minivan taxi/	<span class="tone4">miàn</span><span class="tone1">dī</span>
世界	world/CL:個|个[ge4]/	<span class="tone4">shì</span><span class="tone4">jiè</span>
是	variant of 是[shi4]/(used in given names)/	<span class="tone4">shì</span>
什么样	what kind?/what sort?/what appearance?/	<span class="tone2">shén</span><span class="tone5">me</span><span class="tone4">yàng</span>
什么	what?/who?/something/anything/	<span class="tone2">shén</span><span class="tone5">me</span>
的	aim/clear/	<span class="tone4">dì</span>
后来	afterwards/later/	<span class="tone4">hòu</span><span class="tone2">lái</span>
才	a moment ago/just now/(indicating sth happening later than expected)/(preceded by a clause of condition or reason) not until/(followed by a numerical clause) only/	<span class="tone2">cái</span>
明白	clear/obvious/unequivocal/to understand/to realize/	<span class="tone2">míng</span><span class="tone5">bai</span>
生活	life/activity/to live/livelihood/	<span class="tone1">shēng</span><span class="tone2">huó</span>
教科书	textbook/CL:本[ben3]/	<span class="tone4">jiào</span><span class="tone1">kē</span><span class="tone1">shū</span>
要	important/vital/to want/to ask for/will/going to (as future auxiliary)/may/must/(used in a comparison) must be/probably/if/	<span class="tone4">yào</span>
比	to associate with/to be near/	<span class="tone4">bì</span>
书	book/letter/document/CL:本[ben3],冊|册[ce4],部[bu4]/to write/	<span class="tone1">shū</span>
有用	useful/	<span class="tone3">yǒu</span><span class="tone4">yòng</span>
得	to have to/must/ought to/to need to/	<span class="tone3">děi</span>
多	many/much/often/a lot of/numerous/more/in excess/how (to what extent)/multi-/Taiwan pr. [duo2] when it means "how"/	<span class="tone1">duō</span>
这个	this/this one/	<span class="tone4">zhè</span><span class="tone5">ge</span>
小城	small town/	<span class="tone3">xiǎo</span><span class="tone2">chéng</span>
城镇	town/cities and towns/	<span class="tone2">chéng</span><span class="tone4">zhèn</span>
每个人	everybody/everyone/	<span class="tone3">měi</span><span class="tone5">ge</span><span class="tone2">rén</span>
个人	individual/personal/oneself/	<span class="tone4">gè</span><span class="tone2">rén</span>
都	capital city/metropolis/	<span class="tone1">dū</span>
彼此	each other/one another/	<span class="tone3">bǐ</span><span class="tone3">cǐ</span>
秘密	secret/CL:個|个[ge4]/	<span class="tone4">mì</span><span class="tone4">mì</span>
但是	but/however/	<span class="tone4">dàn</span><span class="tone4">shì</span>
真正	genuine/real/true/genuinely/	<span class="tone1">zhēn</span><span class="tone4">zhèng</span>
朋友	friend/CL:個|个[ge4],位[wei4]/	<span class="tone2">péng</span><span class="tone5">you</span>
却	but/yet/however/while/to go back/to decline/to retreat/nevertheless/even though/	<span class="tone4">què</span>
很	(adverb of degree)/quite/very/awfully/	<span class="tone3">hěn</span>
少见	rare/not familiar (to the speaker)/sth rarely experience/hard to see/	<span class="tone3">shǎo</span><span class="tone4">jiàn</span>
大家	everyone/influential family/great expert/	<span class="tone4">dà</span><span class="tone1">jiā</span>
为了	in order to/for the purpose of/so as to/	<span class="tone4">wèi</span><span class="tone5">le</span>
生存	to exist/to survive/	<span class="tone1">shēng</span><span class="tone2">cún</span>
而	and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast)/	<span class="tone2">ér</span>
奔忙	to be busy rushing about/to bustle about/	<span class="tone1">bēn</span><span class="tone2">máng</span>
谁	who/also pr. [shui2]/	<span class="tone2">shéi</span>
有时	sometimes/now and then/	<span class="tone3">yǒu</span><span class="tone2">shí</span>
时间	time/period/CL:段[duan4]/	<span class="tone2">shí</span><span class="tone1">jiān</span>
去	to go/to go to (a place)/(of a time etc) last/just passed/to send/to remove/to get rid of/to reduce/to be apart from in space or time/to die (euphemism)/to play (a part)/(when used either before or after a verb) to go in order to do sth/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)/	<span class="tone4">qù</span>
了解	to understand/to realize/to find out/	<span class="tone3">liǎo</span><span class="tone3">jiě</span>
别人	other people/others/other person/	<span class="tone2">bié</span><span class="tone5">ren</span>
呢	woolen material/	<span class="tone2">ní</span>
我	I/me/my/	<span class="tone3">wǒ</span>
经常	frequently/constantly/regularly/often/day-to-day/everyday/daily/	<span class="tone1">jīng</span><span class="tone2">cháng</span>
一个人	by oneself (without assistance)/alone (without company)/	<span class="tone1">yī</span><span class="tone4">gè</span><span class="tone2">rén</span>
坐	to sit/to take a seat/to take (a bus, airplane etc)/to bear fruit/variant of 座[zuo4]/	<span class="tone4">zuò</span>
河边	river bank/	<span class="tone2">hé</span><span class="tone1">biān</span>
看	to see/to look at/to read/to watch/to visit/to call on/to consider/to regard as/to look after/to treat (an illness)/to depend on/to feel (that)/(after verb) to give it a try/Watch out! (for a danger)/	<span class="tone4">kàn</span>
着	to wear (clothes)/to contact/to use/to apply/	<span class="tone2">zhuó</span>
水	water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes/	<span class="tone3">shuǐ</span>
往	old variant of 往[wang3]/	<span class="tone3">wǎng</span>
下流	lower course of a river/low-class/mean and lowly/vulgar/obscene/	<span class="tone4">xià</span><span class="tone2">liú</span>
想	to think/to believe/to suppose/to wish/to want/to miss (feel wistful about the absence of sb or sth)/	<span class="tone3">xiǎng</span>
人生	life (one's time on earth)/	<span class="tone2">rén</span><span class="tone1">shēng</span>
意义	sense/meaning/significance/importance/CL:個|个[ge4]/	<span class="tone4">yì</span><span class="tone4">yì</span>
现在	now/at present/at the moment/modern/current/nowadays/	<span class="tone4">xiàn</span><span class="tone4">zài</span>
回想	to recall/to recollect/to think back/	<span class="tone2">huí</span><span class="tone3">xiǎng</span>
想起来	to remember/to recall/	<span class="tone3">xiǎng</span><span class="tone5">qi</span><span class="tone5">lai</span>
想起	to recall/to think of/to call to mind/	<span class="tone3">xiǎng</span><span class="tone3">qǐ</span>
起来	(after a verb) indicating the beginning and continuation of an action or a state/indicating an upward movement (e.g. after 站[zhan4])/bringing things together (e.g. after 收拾[shou1 shi5])/(after a perception verb, e.g. 看[kan4]) expressing preliminary judgment/also pr. [qi3 lai5]/	<span class="tone5">qi</span><span class="tone5">lai</span>
那些	those/	<span class="tone4">nà</span><span class="tone1">xiē</span>
看似	to look as if/to seem/	<span class="tone4">kàn</span><span class="tone4">sì</span>
平凡	commonplace/ordinary/mediocre/	<span class="tone2">píng</span><span class="tone2">fán</span>
日子	day/a (calendar) date/days of one's life/	<span class="tone4">rì</span><span class="tone5">zi</span>
